pdb,protein_A,protein_B,ligand_C,official_class,family,recommended_first_chain,status,rationale,source_url,source_input,source_sha256,annotation_cif_sha256
8ADM,14-3-3 protein sigma,Ubiquitin carboxyl-terminal hydrolase 8,O6C,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8ADM.json,6360507273280e905b88e42d35bd033452f52beae9511b3103409e152b9e8dc6,4b5352d92b2468ee1ee955f370b701b43db9f5e91cc069c38cdbc278da43afaf
8AFN,14-3-3 protein sigma,Estrogen receptor,O6C,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8AFN.json,e1a95a8a7630b07ee9fbac2d975923d1bc7d2dfaffc5e6072a8a6724cfef8604,49f0e9a4fc4c8a7f7519ecb72d3cd62ec05cc9c8eacce9fbd0a8eb5e5e380538
8AV0,14-3-3 protein sigma,RAF proto-oncogene serine/threonine-protein kinase,O6C,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8AV0.json,30b87105cd22c23b455c57fd7980f7be85c2c9d2fbcac61b27a0cbe8c618247e,061881388ad00137b33d626b5932bcb43b69bd3611a3e52c386f2405c10e5520
8BU1,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RQL,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU1.json,f6cdc699db1b084a6276b3eaa1a7320b2edd41560f3dd08ee7f122b2af096984,8830705374735530c31ea55a506833044df191d4953c6c9a2df82af1c60ac792
8BU2,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RVQ,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU2.json,531936dfe71ec644fd5e691be7d56f488fd0c2ca4e65c9dbfc0261094ab111fc,edae053ef4d60de19e97882889a503afff504dece201f9fadf386b519f34a392
8BU3,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RSI,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU3.json,c943962e255e9a577ef6d28ca57e7a7c0e8583f1bd6b41f2b9390935c44f4f29,2f261842f12866ec6b4fe26c59cd65a5bb5be3dcfb75680a438e3ced96bbe03b
8BU4,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RQL,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU4.json,59fd1751cfb5326b79534cf09ce73bc8b23a5c7617cfc387ecd3eb8f9ae9b77b,c634c57ea4ac010fabd2c2b1d3c439b4e4f2c0b9f8f9f15fa015ef7e4f4e42ee
8BU5,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RMF,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU5.json,53aab26e3ef44386d3479d91b271acf935bbdc78a4aef086ca52ef5d2d95646c,f1b6511efe52b317b60c79d29b8748e8fab9431bcf8206dc156cf66cd35fd5eb
8BU6,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RQE,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU6.json,554779a6b28f95daf4bd854e16caeaee7d56be6a2630115a325c62112d3a5eed,d85e1af97c39da06898f39de0a7f7afad5f5381a4d0b5b3c420cfd7c68454063
8BU7,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RS5,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BU7.json,22f36f02acfd22e61d0fd7661483d84662d196c76cba383abf1a98344bf303c1,3719b0ff194a3cf4344d45c4cc03c796172443174c446b9734d376cac1b7d2c8
8BUA,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RVH,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUA.json,84b4b7f8b0f53e185cc15662beeaaa4a5bf5fc748a5a60592dcc450416d7d460,23f7f053434e9799e091245ef5a1135e63ecc52967a820fddabbbc5a5d30b56a
8BUB,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RNU,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUB.json,30c0e81379eef4fa491d31a2d8ddd7d2cd47ccbff725f052d10793c8a30d9553,1e945e8e1500313b6827ab099c840952b39f676377d16a3b0754aeeccf980da5
8BUD,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RP9,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUD.json,f744caa72681a2e61ceb0c3bac60807faaeaa1414f56dc1353a01b16b02096c2,5d86ca8d2cfc8de0ca8fa31451cba76fde31a70e632730eae36f1fdbf74aaeed
8BUE,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RVU,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUE.json,9feb2eb1fee19c12dc2b6848264fea9657150b7486e6e3a34694014d286c383e,4c8cce92d46818e17a59a22f7ec8c372bf5098fa64f5d959564292615e807cc7
8BUF,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RW6,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUF.json,dbdab5e5f60ec67c8a94381ec70a5485df6e1d35217ca79362d0140edc5aa048,ac68dfbdf22f51c073b2a1e3e142f7fcfbb2a896eee1ee4ada8d257d870e0752
8BUK,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RWE,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUK.json,bdb8a12de9ed2dca3f2a52f93fc280c9017f2eb8580695d619e681ccbe90351d,c1535cbdfae55f061940104870a0102e75ae813082f3c7d9d1e3d9371b1d98c5
8BUL,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RSU,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUL.json,66efac7f7bfc50b9f1a4120438849adbf28d4cfd354cc2495d5ac1255e7b272d,91b95e6d7126825a17e587a260b87ec3193564c226a809ef38df59bd62f74172
8BUM,DNA damage-binding protein 1,Cyclin-dependent kinase 12,T6X,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUM.json,a242f9b6d8e82328fff62fb33e12068399e2cdf7c9fe5fdcbd4d71ad3f07287d,c37ac6b824488aaa8fb601a388810b9fc1431148be6a1e964547633fe9acfc5a
8BUN,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RNF,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUN.json,01599663664e61449fb35e87d6f3abe517538f1e6e563182476e2d498cae6fb8,2896f44b16f6d4307f954ada7d7d0add5db168523f03cae33de07e018177305f
8BUP,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RWN,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUP.json,dc63b00e7e511976dffb59c1b50d3ab9e34a68f3384976bf00682248dcb9edc2,0082686d3a417b43185fb5eb20c04e864037218eaeb6dfc866369f6d9e6ff00f
8BUQ,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RQ9,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUQ.json,f04f746841056ec96649f59156b29d87b460ccf8d760b1ca21610d3f2fc23774,aff9781fa7af3da27a55a64aa27f81042a9108042b23c7bf8a7b76974211c3ba
8BUS,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RMX,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUS.json,6e720bec6f92370b79611dd4f57bc0163ebd11acf2ebb4552e94d9b28efaa63f,71d6972c676d09e9207b9426bcf9afff4a3624ef5eca99a898ab8e15c53beae1
8BUT,DNA damage-binding protein 1,Cyclin-dependent kinase 12,RQ5,heterodimerization-degrader,CDK12-DDB1,B,anchor_hypothesis,CDK12 pocket; degraded substrate cyclin K is not CDK12,https://www.nature.com/articles/s41589-023-01409-z,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BUT.json,8f04d8c2fd5033042054cbdbda06ddd6735704dcff40eadd7264dc81ff6c68e3,ddfb3d5f4013a84866882a8a56a6793daed939305cbfbb2abe74ebf129a062f2
8BWJ,14-3-3 protein sigma,ERalpha peptide,RYR,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BWJ.json,ca0bc39f2c3b59eeff15281a7c80f22922128f383775cb8af2e6be8a610d59ff,f895e3f93cc4727905f65c366c683a40cb0cdd76ecce5248226916fb50d3cb13
8BWX,14-3-3 protein sigma,ERalpha peptide,RZT,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BWX.json,543a52e7e2841e36557722c3f7e4037e4c45c48551ee58141f4eda3da3d2b8e2,4bfe029b245d72b78b71d92476ff6ad983004c83f5b0699fae45b915c2af8711
8BWZ,14-3-3 protein sigma,ERalpha peptide,S3I,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BWZ.json,912e23281eaa67a908bf2037f3a88a80bac7a1dee2bb0d22f830375a655a8282,fa93dd6efcdd331921c834106fa2f764c5f31a9c5afe5d6e2137e4ddd170fd8b
8BX0,14-3-3 protein sigma,ERalpha peptide,S2U,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BX0.json,27c1b667df2afc687e6561b17db22d7caabc75f9ddde9184b2bf41049f570b6a,1835a92b7bc62c6a65d411377049e90fb7bf4661bee193d8d83464f5ecfa7aff
8BX3,14-3-3 protein sigma,ERalpha peptide,RZL,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BX3.json,2e570a284061cd387af03b181458936cbbd7d7c2609d8499fdd8108b912a99ff,9bc6ea17234c4e4fe36cf6f9d6b3992e7e895d6804ee01a37a4b72713037267d
8BX4,14-3-3 protein sigma,ERalpha peptide,RZC,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BX4.json,66eecd73c899694d11fca560b5d272c04d13ffb5f65c714407c9006f4d8a84bb,93610b7481e479672059f063e86fb313e4ece3d6ff336c98f9942d5fb481195a
8BXI,14-3-3 protein sigma,ERalpha peptide,S0O,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BXI.json,f68959eb0a2d502b5e1b92c40f8a3ca9329525e07a897b692d39ee950f6f7026,5b8433aaac1b43c48580341a68c4c396be25d321dab843b01814978aceb5e2bb
8BXM,14-3-3 protein sigma,ERalpha peptide,S0U,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BXM.json,41f5b86aec749df563812e2686762138ef9572dbd2f54a4bf8cd83998ec73fae,8222f7d4c60b8e8e2f9811727192fc241aace2e372d8421b4cec5e1cc55ae1be
8BXN,14-3-3 protein sigma,ERalpha peptide,S1R,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BXN.json,f280343c3bac2263ff3fe3e1153c8dc3fe9d63580f5858e7dd84c81d398340cb,72cff4af2e81395271a290f7825755ecf56b06e7f01621bb563af48ec30d10e9
8BXO,14-3-3 protein sigma,ERalpha peptide,S1I,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BXO.json,05e0e16e02278a82fe8c3984857f75a8a260d61c52d035e80bd58b1083cb7a19,e369f531766b57f0c526d6aa7cfe9edf3c72c2bf0a305c22d5198a8fd8f4bb1c
8BXQ,14-3-3 protein sigma,ERalpha peptide,S3U,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BXQ.json,c7f2a56206f94bdb4a160586e6e188d6770f83c36d7078dce202c72d16b96c74,abe6889ff17ed646fb438589b3d450f78efe4ae3d47f9cc533a4f61fc48b84ca
8BXS,14-3-3 protein sigma,ERalpha peptide,S2E,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BXS.json,413c70e6a658e9b9767aabb7012fa9f6584d70ce9c2565ed3bee7064bafd2afa,f068b45f0df4bf8a56dfa6d9c42a1931f0d2a8189efa8574b7df15e1eaa2e182
8BY9,14-3-3 protein sigma,ERalpha peptide,S86,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BY9.json,22a6ddcfcd8d92b584e9c17ae9d18bb79992c696c2f64fc6d77744ba13da6ca4,ce03c18508128eadb43e72a5b773370814f1f6c278d20e4f704d19a53374213d
8BYB,14-3-3 protein sigma,ERalpha peptide,S8O,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYB.json,1be3df7f83082fff54350a053f45804c7af348f08f7da9ec5152a0624897e7b8,9f99c8c1dbd735aa0a5ec8256f2bffba6fddd4264340742ff9693b17780f6dd0
8BYC,14-3-3 protein sigma,ERalpha peptide,S7R,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYC.json,aba46e24ad73035006196c4704426ce88ad50c30bba9decf26db957b607eca3d,cff8476809be79712559949438f41ecb1ebc2732f7681e9226c54c1aab5a80e8
8BYD,14-3-3 protein sigma,ERalpha peptide,S7I,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYD.json,3c16f524ee304bfe7005feb26c61abf8d7422f7a6a57bf5c83da58e229cc7f71,57e852b8b09e299d022e467c17e9928ea1efcdb769d592563a2b092e4218380b
8BYE,14-3-3 protein sigma,ERalpha peptide,RY0,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYE.json,052d0c7cdac7e0430281fff170c4286766dbedd8a0957c89506e833dd5a72b6e,9dc1ab8aaa6d4c320dda33e21b0a562e327c5acb8b5b5d1828e511beee5bdbbb
8BYF,14-3-3 protein sigma,PHE-PRO-ALA-TPO-VAL,S6X,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYF.json,42c1d910f139c7bd0a77d3660635087f2ef7e4ed90bc12221fc79ef17f2d8a1e,7b0ef0dc90de83253bd28cf6fd0754bd2c4773cace5034ef33a93eec49ce3914
8BYG,14-3-3 protein sigma,ERalpha peptide,S6O,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYG.json,71ba14b20b5031755c144d08f9c69111d17cfee149a0901259177e592115daf5,ef826f8180dcd1fefabf3615c1be4ea2238aee76507869e2dd724abfdecd0100
8BYO,14-3-3 protein sigma,ERalpha peptide,U0L,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYO.json,cd4c05df423c7397b6f1922a236b1822aa7b8edadf301fdde9e73e85f9e55d80,205dc602a753319f44067dc78375cf1641a9370d18cd8188a2a86aae81d2dd71
8BYY,14-3-3 protein sigma,ERalpha peptide,SE3,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8BYY.json,138b5fcc21cee04829f085b1de531e78ca2bf6607427aac0cd00093b7450d647,a373fe95f76b4c4184ad37f5397947b89f427be1efc47e9da837245371f46bf4
8C0K,14-3-3 protein sigma,ERalpha peptide,SOI,heterodimerization-nondegrader,14-3-3-peptide,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8C0K.json,b7a9aff40d28cb514ad56f1446f054d482befbf04b5f26b977bc84ae1464e61f,369e948da21e77280664ddc9b3b810332ecec694d011ed342c39c72b33d5df47
